,users,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
27,27,,,,,-2.344,,-1.906,-2.219,,,,,-4.656000000000001,,-7.593999999999999,-1.344,-0.9059999999999999,-9.375,-9.375,-7.562,3.875,0.7809999999999999,0.594,-3.188,1.25,5.031000000000001,-0.188,4.0,-3.062,1.625,2.5,-0.344,-4.125,-3.0,-3.188,-3.906,-5.281000000000001,-3.594,7.343999999999999,4.218999999999999,2.125,3.312,-0.281,-6.718999999999999,-2.469,1.031,5.0,9.312000000000001,5.281000000000001,6.375,1.844,3.0,2.656,1.8119999999999998,0.531,4.468999999999999,0.7809999999999999,-2.969,-1.25,-2.375,2.531,7.468999999999999,3.844,-3.438,-3.219,1.156,2.156,4.562,6.312,-1.062,-1.9380000000000002,2.781,2.094,1.781,3.156,1.719,2.562,2.562,3.312,1.281,-4.781000000000001,2.406,1.8119999999999998,3.719,3.75,2.031,3.656,-1.781,0.938,5.718999999999999,2.625,-3.188,5.0,2.75,-9.094,-0.062,-0.8440000000000001,4.062,1.8119999999999998,4.593999999999999
28,28,,,,,5.125,,-8.281,4.0,,,,,-0.875,,8.812000000000001,7.0,4.438,-8.562000000000001,1.281,-8.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,,,,,1.844,,-6.843999999999999,4.438,,,,,-6.125,,3.438,-7.188,8.531,-7.062,9.812000000000001,-8.187999999999999,,,,-3.344,,,,,,,,,-6.938,,,,-7.438,,,,,,,,,,,,,6.031000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,,,,,-9.844,,3.875,6.406000000000001,,,,,-6.406000000000001,,-6.5,-3.219,5.093999999999999,5.093999999999999,1.969,5.031000000000001,,,,,,,,,,,,3.281,,,,9.5,,,,,6.375,,7.406000000000001,1.375,,,,,,8.875,-3.375,,,,,,-7.593999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.937999999999999,,,,,,,,,,,
34,34,,,,,-9.094,,-6.562,-8.094,,,,,1.844,,-3.688,-4.031000000000001,-9.812000000000001,2.938,4.0,3.125,,,,,,,,,,,,6.718999999999999,,,,3.188,,,,,,,,,,,,,,,,,,,,,,-4.343999999999999,3.281,4.906000000000001,,-5.843999999999999,6.688,-7.438,,-5.875,,7.093999999999999,,,,1.4380000000000002,,,,-5.593999999999999,,,,,,,,,,,,2.719,7.656000000000001,,-4.031000000000001,,6.906000000000001,,,-3.75,,,,
39,39,,,,,-9.281,,-9.281,-9.375,,,,,-9.344,,-9.469,-9.469,-9.531,-9.406,-9.281,-9.281,-8.031,1.6880000000000002,1.656,2.5,1.0,-0.344,-8.0,0.156,-7.718999999999999,1.969,-3.844,-7.812,1.219,0.688,-8.062000000000001,-7.468999999999999,1.9380000000000002,0.9059999999999999,0.344,1.375,1.5,-2.625,2.469,-0.375,1.125,0.344,-2.562,0.5,-3.531,-8.281,1.656,0.562,-8.125,-3.562,1.406,-0.125,-0.094,0.9059999999999999,2.281,2.531,-0.094,-2.344,1.031,0.21899999999999997,-7.875,-7.938,-8.594,-3.25,-8.094,0.469,-8.875,-8.031,1.219,-8.875,-8.844,-8.312000000000001,0.562,0.031,-8.25,-0.125,-0.125,1.656,-8.062000000000001,0.7190000000000001,0.43799999999999994,1.219,0.281,-0.094,-7.75,0.875,0.406,0.344,-8.125,0.281,0.344,-2.438,-2.438,0.156,1.875,0.594
43,43,,,,,-6.468999999999999,,4.438,-7.125,,,,,3.875,,-3.375,-4.968999999999999,2.562,-4.125,-5.438,-6.156000000000001,-3.719,,,,,,-0.281,,-0.156,,,-3.406,,,3.438,5.843999999999999,,,,,,,,,,,,,,6.281000000000001,,,-5.843999999999999,,,,,,,,,,,,-0.469,,-7.156000000000001,,,,-5.938,-3.844,,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,,,,,-4.968999999999999,,-0.43799999999999994,0.812,,,,,0.9059999999999999,,-0.6559999999999999,6.125,2.531,3.719,1.344,1.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.156,,,,1.344,,,,,,,5.781000000000001,,,,4.812,,,,,,,,,2.312,
46,46,,,,,9.687999999999999,,9.719,8.875,,,,,-1.125,,-9.594,-9.312000000000001,-8.781,-7.906000000000001,-4.0,-0.938,-6.562,-8.594,,,3.781,-7.531000000000001,6.875,6.625,8.812000000000001,,-6.906000000000001,-2.781,,-6.25,0.625,7.562,,2.031,-9.437999999999999,3.75,0.344,-4.625,,,2.031,9.906,8.156,9.5,-8.437999999999999,9.875,,-1.344,-3.938,-5.031000000000001,-8.5,6.343999999999999,,,,-3.25,4.531000000000001,-1.156,,,-8.094,-9.562000000000001,,9.531,-9.344,,,-7.25,2.719,,,5.218999999999999,-9.031,9.656,,5.75,-8.844,-9.656,-8.094,-3.25,1.906,,5.531000000000001,9.312000000000001,5.438,,-6.281000000000001,-4.531000000000001,6.125,3.312,1.719,4.438,2.375,-8.875,,8.656
47,47,,,,,8.594,,9.844,9.969,,,,,-8.969,,-9.781,-0.25,9.781,9.187999999999999,9.656,9.25,9.969,9.875,9.906,9.719,9.625,9.844,9.906,-9.437999999999999,9.531,9.781,9.531,9.875,9.687999999999999,9.469,8.719,9.906,9.781,9.656,9.906,9.906,9.781,9.812000000000001,9.844,9.75,9.812000000000001,9.875,9.719,9.75,9.906,-9.781,9.875,-8.844,9.906,9.781,-0.469,9.906,9.5,9.562000000000001,9.937999999999999,-7.312,8.875,9.812000000000001,9.875,9.562000000000001,9.656,9.656,9.875,9.75,9.906,9.812000000000001,9.719,-4.093999999999999,9.844,9.906,9.937999999999999,9.906,9.781,9.812000000000001,9.781,9.344,9.875,9.844,9.719,9.781,8.625,9.75,9.469,9.656,9.844,9.594,9.375,9.906,9.75,9.812000000000001,9.906,9.969,8.937999999999999,9.969,9.75,0.9059999999999999
48,48,,,,,-6.562,,-6.343999999999999,-1.781,,,,,1.062,,0.43799999999999994,-4.0,9.75,-2.375,9.031,4.25,,,,,,,6.843999999999999,,5.468999999999999,,,9.219,,,,9.344,,,,,,,,,,,,,,8.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.437999999999999,,,,,,,,,,,
49,49,,,,,-1.9380000000000002,,-0.812,0.156,,,,,-0.125,,4.438,3.156,0.43799999999999994,2.0,1.406,-3.688,,,3.156,4.75,,,,,,5.406000000000001,,4.875,,,,5.906000000000001,,,,,,,,,,,,,,6.218999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.562,,,,,,,,,,,
51,51,,,,,-3.156,,2.719,1.094,,,,,-1.531,,-9.312000000000001,-4.062,6.875,1.375,6.218999999999999,1.844,,,,,,,,,,,,,-3.469,,,,-1.25,,,2.656,0.562,,2.812,,,,,,,-1.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,,,,,6.468999999999999,,-6.781000000000001,8.625,,,,,-8.062000000000001,,-4.156000000000001,2.094,3.719,-1.6880000000000002,4.625,5.375,0.9059999999999999,7.062,9.906,7.188,0.875,7.438,9.156,7.906000000000001,-1.5,6.718999999999999,4.188,9.875,-3.0,6.968999999999999,9.469,7.875,1.656,9.719,0.125,8.937999999999999,8.281,-3.75,,6.75,5.75,-4.656000000000001,9.812000000000001,8.531,3.156,2.469,3.094,1.719,9.531,9.937999999999999,7.093999999999999,8.531,8.031,5.843999999999999,6.218999999999999,6.406000000000001,9.875,9.562000000000001,7.312,9.219,9.969,9.031,8.594,9.937999999999999,9.219,6.562,6.188,5.812,,5.468999999999999,2.312,9.719,4.156000000000001,2.688,7.343999999999999,9.969,7.906000000000001,6.343999999999999,8.312000000000001,4.343999999999999,-2.844,7.281000000000001,9.969,9.781,7.531000000000001,7.093999999999999,9.937999999999999,9.969,9.031,5.843999999999999,9.969,8.469,9.844,0.5,6.125,
53,53,,,,,9.437999999999999,,-8.719,-8.156,,,,,-7.688,,-7.843999999999999,-8.312000000000001,6.812,-2.344,2.156,5.812,2.031,,,,,,4.25,3.969,-3.625,,2.0,3.062,,,3.125,3.875,,,,,,2.0,,,,,3.969,2.0,3.75,-2.938,,,2.906,-3.125,,3.469,,4.5,4.593999999999999,4.343999999999999,1.031,4.0,,4.843999999999999,2.5,-5.156000000000001,4.75,2.781,3.188,,,3.875,,,,1.469,,2.688,,,5.0,,3.469,,,,3.219,1.594,-3.875,,1.031,,2.562,,,3.375,2.0,,,
54,54,,,,,-6.25,,-6.781000000000001,7.593999999999999,,,,,8.125,,-7.312,-9.125,7.906000000000001,1.156,8.75,-4.938,6.125,,,,,,-9.75,,-4.531000000000001,,-8.844,8.25,,,4.718999999999999,1.25,,,,,,-0.7809999999999999,,,,,,-1.5619999999999998,-8.844,-4.718999999999999,,,9.281,-6.968999999999999,,,,,,,-1.25,-1.219,,,7.25,9.625,,,-5.5,,-8.625,-9.656,-8.937999999999999,7.438,-5.875,,-6.843999999999999,,,,9.344,,-9.75,,,,,,-6.562,,,,,,,,,,,
55,55,,,,,2.562,,3.656,8.25,,,,,5.5,,0.43799999999999994,-4.75,9.531,6.812,4.562,8.0,,,,,,,8.562000000000001,,2.0,,,5.906000000000001,,,9.656,6.031000000000001,,,,,,,,,,,,,5.938,5.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.938,,,,,,4.468999999999999,,,,9.906,,,,,,,,,6.5,7.218999999999999,
56,56,,,,,-0.188,,1.875,4.968999999999999,,,,,6.188,,6.125,-5.281000000000001,1.9380000000000002,4.438,2.531,6.093999999999999,7.188,6.718999999999999,5.688,4.906000000000001,3.625,4.718999999999999,5.062,3.844,3.406,4.438,6.843999999999999,2.469,6.468999999999999,2.156,1.6880000000000002,3.625,6.25,6.312,5.968999999999999,2.219,4.75,4.656000000000001,6.625,3.0,4.593999999999999,3.438,2.219,2.906,5.875,5.843999999999999,4.281000000000001,4.688,5.406000000000001,5.843999999999999,5.656000000000001,6.75,4.438,,4.438,5.375,6.468999999999999,6.218999999999999,3.719,3.938,4.688,5.5,5.656000000000001,3.0,5.843999999999999,2.625,2.625,5.843999999999999,-2.844,0.594,2.688,3.969,4.843999999999999,5.093999999999999,6.062,-5.718999999999999,2.156,4.031000000000001,4.406000000000001,3.031,5.375,2.188,6.0,3.594,4.156000000000001,4.031000000000001,4.438,3.125,4.093999999999999,6.25,3.5,1.531,5.125,2.344,6.031000000000001,6.093999999999999
57,57,,,,,-3.219,,5.281000000000001,8.562000000000001,,,,,-1.094,,2.562,0.312,9.906,8.156,5.718999999999999,7.188,,,,7.281000000000001,,,8.719,,6.625,6.75,,8.812000000000001,0.21899999999999997,,9.0,8.937999999999999,,,,,,,,,,,,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,,,,,-4.875,,-4.625,3.0,,,,,3.938,,-6.688,-6.688,-5.062,4.25,3.594,-7.906000000000001,-3.5,,,,,,6.625,,7.406000000000001,,-1.594,6.406000000000001,,,3.625,2.812,,,,,,8.219,,,,,,4.531000000000001,-4.375,6.688,,,7.406000000000001,7.25,,5.188,,-8.156,,,8.687999999999999,6.531000000000001,,,-5.75,7.468999999999999,,6.968999999999999,1.219,,,-2.344,,,,8.594,,5.218999999999999,,,6.281000000000001,,3.469,,,,1.5619999999999998,3.781,4.593999999999999,,0.062,,5.062,,,,,,,
60,60,,,,,3.062,,3.219,5.75,,,,,9.906,,-1.375,0.469,9.875,4.625,7.812,3.156,9.906,9.5,9.219,-6.531000000000001,8.187999999999999,5.312,8.781,5.718999999999999,9.812000000000001,8.25,9.781,9.875,8.844,6.656000000000001,7.375,6.562,9.062000000000001,6.281000000000001,9.844,-4.062,8.562000000000001,6.688,9.125,8.562000000000001,9.844,6.188,7.562,9.875,6.25,9.719,9.406,5.406000000000001,6.688,9.875,2.188,-2.844,8.562000000000001,,8.656,9.375,8.844,7.188,4.75,8.281,9.656,5.968999999999999,8.969,5.906000000000001,9.781,8.594,-9.312000000000001,9.875,9.406,-9.469,-9.562000000000001,3.781,8.062000000000001,9.781,8.969,9.656,-2.062,9.437999999999999,3.812,8.719,9.031,-8.062000000000001,6.156000000000001,7.25,5.968999999999999,9.812000000000001,5.906000000000001,7.188,8.031,9.344,8.969,8.719,6.312,8.844,8.656,9.594
61,61,,,,,-6.656000000000001,,1.8119999999999998,-1.8119999999999998,,,,,-7.343999999999999,,-7.281000000000001,7.375,-7.438,6.968999999999999,-7.156000000000001,-8.312000000000001,,,,,,,,,,,,-5.875,,,,,-6.625,,,,,,,,,,,,,,,,,,,,,,,,,-7.968999999999999,,,,,,-7.218999999999999,,,,-5.875,,,,,,,,,,,,,,,,,-6.375,,,,-7.218999999999999,,,,,,,
62,62,,,,,2.219,,4.531000000000001,0.25,,,,,2.875,,5.656000000000001,5.938,-6.688,5.593999999999999,-2.969,-7.531000000000001,-5.0,3.188,3.781,-3.281,3.906,-2.125,3.344,-3.812,3.125,-3.906,6.843999999999999,1.469,3.688,0.344,3.25,3.719,4.562,0.43799999999999994,-4.188,-4.218999999999999,4.968999999999999,-0.031,1.281,2.75,0.094,5.625,-0.406,-6.281000000000001,0.531,1.469,1.531,1.344,4.406000000000001,0.812,1.531,-6.25,3.969,2.594,3.25,5.0,4.906000000000001,2.094,-4.593999999999999,2.188,6.281000000000001,0.156,1.5619999999999998,-6.125,7.093999999999999,1.0,3.844,0.5,-2.125,-3.656,0.43799999999999994,-0.531,-3.656,-6.438,3.688,-5.406000000000001,5.188,-4.062,-5.656000000000001,3.344,-3.719,-1.375,6.093999999999999,6.0,0.9059999999999999,0.7809999999999999,-0.031,3.688,3.938,0.5,3.875,1.5619999999999998,5.093999999999999,2.031,2.938,3.75
63,63,,,,,-9.937999999999999,,0.031,-7.031000000000001,,,,,-0.062,,-0.062,3.062,-6.656000000000001,3.688,0.094,-2.156,,,,,,,3.125,,,,,4.843999999999999,,,2.938,3.844,,,,,,,,,,,-2.344,,-2.219,0.9059999999999999,,,-0.469,,,,,-2.125,,,,2.844,,,,4.406000000000001,,-0.43799999999999994,0.0,,,-5.718999999999999,,,,4.593999999999999,,-3.031,,,,,,,,,3.312,-0.125,2.125,,4.093999999999999,-0.25,4.031000000000001,-3.781,,-0.43799999999999994,,,,
65,65,,,,,5.5,,8.781,8.562000000000001,,,,,9.0,,-8.687999999999999,-9.062000000000001,2.062,-8.969,1.844,-8.937999999999999,9.094,-1.75,-8.5,-8.625,6.281000000000001,-8.5,0.156,-2.969,1.781,-8.719,2.781,9.094,-8.719,-2.594,9.0,-0.469,-8.719,-4.625,-2.625,-9.25,-8.5,-9.062000000000001,-8.719,,-6.781000000000001,8.875,-9.562000000000001,-9.469,-0.375,-9.25,-8.5,-8.5,9.094,2.531,-8.5,8.281,,,-9.187999999999999,-8.5,2.0,-9.281,-8.5,-8.5,-0.9059999999999999,8.719,-8.719,-8.781,9.219,-8.437999999999999,-8.719,3.188,-8.5,-8.719,8.437999999999999,6.531000000000001,-8.5,-6.906000000000001,-9.187999999999999,-8.5,8.625,-8.5,-9.187999999999999,-8.937999999999999,-3.531,-8.5,8.906,8.281,9.062000000000001,-8.5,-9.094,-8.5,-8.937999999999999,-8.5,-8.5,-8.062000000000001,-6.968999999999999,-3.25,-9.187999999999999,-9.062000000000001
